propid,price,lnprice,advance,age,bathroom,bedroom,buyage,centheat,chelec,chepart,chgas,chgpart,chnone,floorm2,ftbuyer,greastings,grnorthing,laarea,labad,lagood,lea,pdetach,pflat,psemi,pterrace,popdens,prkdouble,prknone,prksingle,prkspace,tenfree,tenlease
907,111750,12,105750,12,1,1,28,6,0,1,0,0,0,47,1,526583,170949,0,0,0,315,0,1,0,0,92,0,0,0,1,0,1
908,152500,12,137250,15,1,2,27,0,0,0,0,0,1,69,1,526642,170806,0,0,0,315,0,0,0,1,25,0,0,1,0,1,0
909,116500,12,110675,71,1,2,28,1,0,0,1,0,0,65,1,526648,171983,0,0,0,212,0,1,0,0,43,0,1,0,0,0,1
910,195000,12,175500,121,1,3,29,1,0,0,1,0,0,96,1,526666,171536,0,0,0,212,0,0,0,1,40,0,1,0,0,1,0
911,179000,12,110000,81,1,4,40,1,0,0,1,0,0,125,0,526689,173642,0,0,0,212,0,1,0,0,20,0,1,0,0,0,1
912,335000,13,78000,72,1,3,35,1,0,0,1,0,0,150,0,526693,189615,0,0,0,302,0,0,1,0,25,0,1,0,0,1,0
913,107000,12,90950,71,1,1,52,0,0,0,0,0,1,39,0,526704,181122,0,0,0,213,0,1,0,0,49,0,1,0,0,0,1
914,210000,12,185000,101,1,2,38,1,0,0,1,0,0,55,0,526771,181008,0,0,0,213,0,1,0,0,148,0,1,0,0,0,1
915,170500,12,45500,36,1,3,29,1,0,0,1,0,0,125,0,526775,164145,0,0,0,319,0,0,0,1,32,0,0,1,0,1,0
916,220000,12,198000,131,1,1,34,1,0,0,1,0,0,50,0,526778,184978,0,0,0,202,0,1,0,0,119,0,1,0,0,0,1
917,172000,12,82000,66,1,2,32,1,0,0,1,0,0,67,1,526779,172985,0,0,0,212,0,1,0,0,36,0,1,0,0,0,1
918,325000,13,160000,26,2,2,31,0,0,0,0,0,1,95,0,526787,183896,0,0,0,202,0,1,0,0,76,0,1,0,0,1,0
919,370000,13,85000,36,1,2,25,1,0,0,1,0,0,90,0,526787,183896,0,0,0,202,0,1,0,0,76,0,1,0,0,0,1
920,135000,12,117000,71,1,3,29,1,0,0,1,0,0,90,0,526789,165553,0,0,0,319,0,0,0,1,29,0,0,1,0,1,0
921,137000,12,100000,101,1,2,32,1,0,0,1,0,0,65,0,526794,170578,0,0,0,315,0,1,0,0,110,0,1,0,0,0,1
922,160000,12,144000,71,1,1,32,6,0,1,0,0,0,62,1,526795,176562,0,0,0,212,0,1,0,0,61,0,1,0,0,0,1
923,155000,12,116000,101,1,1,29,1,0,0,1,0,0,42,1,526796,175225,0,0,0,212,0,1,0,0,81,0,1,0,0,0,1
924,249995,12,196500,71,1,1,35,1,0,0,1,0,0,85,0,526808,178953,0,0,0,207,0,1,0,0,46,0,1,0,0,0,1
925,154000,12,138600,68,1,1,32,2,1,0,0,0,0,60,1,526828,176467,0,0,0,212,0,1,0,0,54,0,1,0,0,0,1
926,146000,12,105000,96,1,3,30,1,0,0,1,0,0,70,0,526836,170624,0,0,0,315,0,1,0,0,81,0,1,0,0,1,0
927,166000,12,135000,48,1,3,26,1,0,0,1,0,0,109,0,526853,196377,0,0,0,302,0,0,1,0,15,0,0,0,1,1,0
928,131950,12,116950,21,1,2,25,1,0,0,1,0,0,95,1,526867,176092,0,0,0,212,0,1,0,0,79,0,1,0,0,0,1
929,136500,12,98500,21,1,2,28,1,0,0,1,0,0,83,1,526878,176108,0,0,0,212,0,1,0,0,79,0,1,0,0,0,1
930,88000,11,63000,101,1,1,30,1,0,0,1,0,0,45,1,526898,170533,0,0,0,315,0,1,0,0,43,0,1,0,0,0,1
931,135000,12,110000,96,1,3,30,1,0,0,1,0,0,69,1,526918,171634,0,0,0,212,0,1,0,0,76,0,1,0,0,0,1
932,73000,11,54750,51,1,1,24,0,0,0,0,0,1,67,1,526931,165676,0,0,0,319,0,1,0,0,33,0,0,1,0,0,1
933,114000,12,74000,71,1,2,33,1,0,0,1,0,0,70,0,526951,171802,0,0,0,212,0,1,0,0,8,0,1,0,0,0,1
934,177500,12,159750,71,1,3,26,1,0,0,1,0,0,80,0,526965,170137,0,0,0,315,0,0,0,1,30,0,0,1,0,1,0
935,285000,13,235000,131,1,2,31,1,0,0,1,0,0,72,1,526970,184053,0,0,0,202,0,1,0,0,25,0,1,0,0,0,1
936,113500,12,80000,18,1,2,26,1,0,0,1,0,0,70,1,526986,164482,0,0,0,319,0,1,0,0,26,0,0,1,0,0,1
937,161000,12,50000,71,1,3,39,1,0,0,1,0,0,132,0,526987,164206,0,0,0,319,0,0,1,0,58,0,0,1,0,1,0
938,172000,12,120000,71,1,3,34,1,0,0,1,0,0,105,0,527006,191789,0,0,0,302,0,0,1,0,19,0,1,0,0,1,0
939,97000,11,84500,101,1,1,27,1,0,0,1,0,0,45,0,527017,195873,0,0,0,302,0,1,0,0,36,0,0,0,1,0,1
940,97950,11,80000,101,1,1,30,1,0,0,1,0,0,45,1,527017,195873,0,0,0,302,0,1,0,0,36,0,0,0,1,0,1
941,72500,11,67000,31,1,1,31,1,0,0,1,0,0,60,1,527020,164268,0,0,0,319,0,1,0,0,34,0,0,1,0,0,1
942,179950,12,150000,116,1,2,33,1,0,0,1,0,0,93,0,527112,171070,0,0,0,212,0,0,0,1,33,0,1,0,0,1,0
