propid,price,lnprice,advance,age,bathroom,bedroom,buyage,centheat,chelec,chepart,chgas,chgpart,chnone,floorm2,ftbuyer,greastings,grnorthing,laarea,labad,lagood,lea,pdetach,pflat,psemi,pterrace,popdens,prkdouble,prknone,prksingle,prkspace,tenfree,tenlease
1,105000,12,85000,18,1,2,25,1,0,0,1,0,0,76,1,504998,188930,0,0,0,312,0,1,0,0,3,0,0,0,1,0,1
2,84000,11,79800,31,1,1,47,0,0,0,0,0,1,58,0,505026,177041,0,0,0,312,0,1,0,0,0,0,0,0,1,0,1
3,89000,11,84550,16,1,1,30,0,0,0,0,0,1,44,1,505049,189030,0,0,0,312,0,0,0,1,23,0,1,0,0,1,0
4,136000,12,106000,31,2,4,32,2,1,0,0,0,0,127,0,505087,189238,0,0,0,312,0,0,0,1,23,0,1,0,0,1,0
5,103550,12,88000,31,1,2,38,1,0,0,1,0,0,60,1,505132,183300,0,0,0,312,0,1,0,0,39,0,0,1,0,0,1
6,148000,12,22000,71,1,3,37,1,0,0,1,0,0,76,0,505284,188760,0,0,0,312,0,0,0,1,3,0,1,0,0,1,0
7,127000,12,90000,41,1,2,37,1,0,0,1,0,0,69,0,505303,183018,0,0,0,312,0,0,0,1,16,0,1,0,0,1,0
8,158950,12,67000,71,1,3,37,1,0,0,1,0,0,109,0,505324,182683,0,0,0,312,0,0,1,0,6,0,0,1,0,1,0
9,153000,12,125000,101,2,3,37,1,0,0,1,0,0,80,0,505328,183466,0,0,0,312,0,0,1,0,24,0,1,0,0,1,0
10,114000,12,89000,101,1,2,40,1,0,0,1,0,0,70,0,505694,183325,0,0,0,312,0,1,0,0,29,0,0,1,0,0,1
11,128000,12,100000,51,1,3,36,1,0,0,1,0,0,96,1,505803,181441,1,0,1,312,0,0,1,0,28,0,1,0,0,1,0
12,171000,12,50000,51,1,3,34,1,0,0,1,0,0,96,0,505840,179749,0,0,0,312,1,0,0,0,13,0,0,1,0,1,0
13,107950,12,84000,15,1,2,25,1,0,0,1,0,0,59,1,505872,180935,0,0,0,312,0,0,1,0,10,0,0,0,1,1,0
14,115000,12,109250,23,1,2,38,1,0,0,1,0,0,70,0,506024,182654,0,0,0,312,0,0,0,1,2,0,0,1,0,1,0
15,122000,12,109800,66,1,3,22,1,0,0,1,0,0,81,1,506102,180326,0,0,0,312,0,0,1,0,14,0,0,0,1,1,0
16,97500,11,40000,101,1,3,27,1,0,0,1,0,0,95,1,506202,180477,0,0,0,312,0,0,1,0,30,0,1,0,0,0,1
17,149000,12,119000,101,1,3,45,1,0,0,1,0,0,106,0,506220,180792,0,0,0,312,0,0,1,0,14,0,0,0,1,1,0
18,59950,11,56950,14,1,1,34,0,0,0,0,0,1,46,1,506286,180175,0,0,0,312,0,1,0,0,27,0,0,0,1,0,1
19,93000,11,88000,13,1,1,29,1,0,0,1,0,0,51,1,506351,181173,0,0,0,312,0,0,0,1,64,0,0,0,1,1,0
20,89000,11,25000,14,1,1,30,2,1,0,0,0,0,40,1,506366,181113,0,0,0,312,0,0,0,1,64,0,0,0,1,1,0
21,77000,11,20000,15,1,1,34,1,0,0,1,0,0,25,0,506366,181113,0,0,0,312,0,1,0,0,64,0,0,0,1,0,1
22,120000,12,105000,15,1,2,28,2,1,0,0,0,0,72,1,506366,181113,0,0,0,312,0,0,0,1,64,0,0,0,1,1,0
23,85950,11,81652,31,1,2,25,1,0,0,1,0,0,86,1,506427,178642,1,1,0,312,0,1,0,0,35,0,1,0,0,0,1
24,180000,12,150000,51,1,3,38,1,0,0,1,0,0,103,0,506434,181832,0,0,0,312,0,0,1,0,6,0,0,1,0,1,0
25,89950,11,85452,11,1,1,32,5,0,0,0,1,0,50,1,506591,181022,0,0,0,312,0,0,0,1,34,0,0,0,1,1,0
26,76000,11,72200,13,1,1,32,1,0,0,1,0,0,58,0,506638,181004,0,0,0,312,0,1,0,0,46,0,0,0,1,0,1
27,109000,12,103550,11,1,2,30,1,0,0,1,0,0,66,1,506663,179742,0,0,0,312,0,0,0,1,38,0,0,0,1,1,0
28,90000,11,75000,14,1,1,41,1,0,0,1,0,0,48,1,507188,178028,0,0,0,312,0,0,0,1,4,0,0,0,1,1,0
29,144500,12,100000,61,1,3,32,1,0,0,1,0,0,77,1,507221,183202,0,0,0,312,0,0,1,0,34,0,0,0,1,1,0
30,160000,12,138000,27,1,3,27,1,0,0,1,0,0,100,1,507316,181924,0,0,0,312,0,0,1,0,25,0,0,1,0,1,0
31,270000,13,229500,31,1,3,30,1,0,0,1,0,0,101,0,507351,184616,0,0,0,312,1,0,0,0,19,0,0,1,0,1,0
32,114000,12,108300,21,1,2,22,1,0,0,1,0,0,71,1,507379,182545,0,0,0,312,0,0,0,1,25,0,1,0,0,1,0
33,144000,12,100000,71,1,3,36,1,0,0,1,0,0,87,0,507508,183441,0,0,0,312,0,0,1,0,21,0,0,1,0,1,0
34,143000,12,125000,66,1,3,29,1,0,0,1,0,0,59,1,507648,183267,0,0,0,312,0,0,1,0,12,0,1,0,0,1,0
35,142000,12,56882,66,1,3,26,1,0,0,1,0,0,89,0,507728,184503,0,0,0,312,0,0,0,1,32,0,0,0,1,1,0
36,179500,12,100000,45,1,3,38,1,0,0,1,0,0,90,0,507783,181389,0,0,0,312,0,0,1,0,9,0,0,1,0,1,0
37,135000,12,96000,51,1,2,25,1,0,0,1,0,0,98,1,507831,188094,0,0,0,312,0,0,1,0,1,0,1,0,0,1,0
38,136000,12,122400,51,1,3,29,1,0,0,1,0,0,99,1,507847,183055,0,0,0,312,0,0,1,0,13,0,1,0,0,1,0
39,169000,12,89000,51,1,4,39,1,0,0,1,0,0,92,0,507973,181118,0,0,0,312,0,0,1,0,20,0,0,1,0,1,0
40,218000,12,35000,31,1,3,46,1,0,0,1,0,0,90,0,507994,188405,0,0,0,312,0,0,1,0,1,0,0,1,0,1,0
41,133000,12,112500,71,1,3,26,1,0,0,1,0,0,81,0,508089,183814,0,0,0,312,0,0,0,1,32,0,0,1,0,1,0
42,89000,11,22000,14,1,1,60,0,0,0,0,0,1,47,0,508171,177355,0,0,0,312,0,0,0,1,9,0,0,0,1,1,0
43,225000,12,90000,43,2,4,41,1,0,0,1,0,0,193,0,508264,181109,0,0,0,312,0,0,1,0,3,0,0,1,0,1,0
44,145000,12,130500,71,1,4,55,1,0,0,1,0,0,105,1,508341,181501,1,0,1,312,0,0,1,0,10,0,0,1,0,1,0
45,122000,12,45699,55,1,3,25,0,0,0,0,0,1,98,0,508442,179339,0,0,0,312,0,0,0,1,26,0,1,0,0,1,0
46,122000,12,45998,55,1,3,25,1,0,0,1,0,0,96,0,508442,179339,0,0,0,312,0,0,0,1,26,0,0,1,0,1,0
47,475000,13,250000,71,2,5,31,1,0,0,1,0,0,212,0,508448,192056,0,0,0,312,1,0,0,0,11,0,0,1,0,1,0
48,144000,12,40260,26,1,2,46,1,0,0,1,0,0,74,0,508497,191451,0,0,0,312,0,1,0,0,9,0,0,1,0,0,1
49,120000,12,114000,63,1,2,29,5,0,0,0,1,0,92,1,508502,178905,0,0,0,312,0,0,1,0,5,0,0,1,0,1,0
50,133000,12,118000,31,1,3,28,1,0,0,1,0,0,88,1,508557,177285,0,0,0,312,0,0,1,0,16,0,0,1,0,1,0
51,110000,12,104500,71,1,2,26,1,0,0,1,0,0,78,1,508566,173452,0,0,0,313,0,0,0,1,25,0,0,0,1,1,0
52,129500,12,93000,66,1,3,37,1,0,0,1,0,0,77,0,508571,180852,0,0,0,312,0,0,1,0,3,0,0,0,1,1,0
53,90000,11,75000,16,1,1,31,1,0,0,1,0,0,47,1,508634,186602,0,0,0,312,0,1,0,0,26,0,0,0,1,0,1
54,105000,12,78750,71,1,3,25,5,0,0,0,1,0,82,1,508641,181531,0,0,0,312,0,0,0,1,39,0,1,0,0,1,0
55,88000,11,55000,37,1,2,52,1,0,0,1,0,0,89,0,508655,177436,0,0,0,312,0,1,0,0,39,0,0,1,0,0,1
56,76000,11,68400,31,1,1,26,1,0,0,1,0,0,56,1,508659,177905,0,0,0,312,0,1,0,0,6,0,0,0,1,0,1
57,111000,12,48281,41,1,2,36,6,0,1,0,0,0,65,0,508721,177340,0,0,0,312,0,1,0,0,35,0,0,0,1,0,1
58,59000,11,53100,21,1,1,27,6,0,1,0,0,0,28,1,508755,174181,0,0,0,313,0,1,0,0,25,0,0,0,1,0,1
59,80000,11,54000,51,1,2,36,1,0,0,1,0,0,52,1,508935,180774,1,0,1,312,0,1,0,0,32,0,1,0,0,0,1
60,110000,12,100000,31,1,2,26,1,0,0,1,0,0,88,1,508975,174242,0,0,0,313,0,0,0,1,4,0,1,0,0,1,0
61,94950,11,90200,35,1,2,25,1,0,0,1,0,0,65,1,509036,174193,0,0,0,313,0,1,0,0,28,0,0,1,0,0,1
62,145000,12,80000,36,1,2,42,1,0,0,1,0,0,68,0,509050,191307,0,0,0,312,0,1,0,0,25,0,0,1,0,0,1
63,82500,11,78375,41,1,2,27,0,0,0,0,0,1,77,1,509065,182905,1,0,1,312,0,1,0,0,23,0,1,0,0,0,1
64,137000,12,40000,111,1,3,30,1,0,0,1,0,0,127,1,509087,173984,1,0,1,313,0,0,1,0,38,0,1,0,0,1,0
65,183000,12,93000,69,2,3,38,1,0,0,1,0,0,130,0,509157,181896,0,0,0,312,0,0,1,0,19,0,0,1,0,1,0
66,327500,13,135000,19,2,4,39,1,0,0,1,0,0,156,0,509230,187177,0,0,0,312,1,0,0,0,11,1,0,0,0,1,0
67,144950,12,88000,76,1,3,58,1,0,0,1,0,0,73,0,509236,178854,0,0,0,312,0,0,1,0,23,0,1,0,0,1,0
68,90500,11,85975,51,1,2,22,1,0,0,1,0,0,68,1,509264,174871,0,0,0,313,0,1,0,0,4,0,0,1,0,0,1
69,245000,12,108500,31,1,3,41,1,0,0,1,0,0,140,0,509300,191031,0,0,0,312,0,0,1,0,13,0,0,1,0,1,0
70,134500,12,127775,66,1,3,36,1,0,0,1,0,0,79,0,509311,183040,0,0,0,312,0,0,1,0,23,0,0,1,0,1,0
71,124000,12,114000,51,1,3,28,1,0,0,1,0,0,108,1,509396,173365,1,0,1,313,0,0,0,1,10,0,0,1,0,1,0
72,177000,12,66491,71,1,3,29,1,0,0,1,0,0,91,0,509503,186441,0,0,0,312,0,0,1,0,23,0,0,0,1,1,0
73,140000,12,100000,71,1,3,28,1,0,0,1,0,0,93,0,509514,182564,0,0,0,312,0,0,1,0,24,0,0,1,0,1,0
74,217500,12,145000,66,1,3,32,1,0,0,1,0,0,103,0,509546,187557,0,0,0,312,0,0,1,0,17,0,0,1,0,1,0
75,128500,12,122000,6,1,3,27,1,0,0,1,0,0,79,1,509552,172540,0,0,0,313,0,0,1,0,4,0,0,1,0,1,0
76,82000,11,65000,6,1,1,24,0,0,0,0,0,1,39,1,509554,172686,0,0,0,313,0,0,0,1,105,0,0,0,1,1,0
77,81000,11,76100,6,1,1,40,6,0,1,0,0,0,47,1,509598,172693,0,0,0,313,0,1,0,0,4,0,0,0,1,0,1
78,285000,13,230000,66,1,3,43,1,0,0,1,0,0,123,0,509644,187437,0,0,0,312,1,0,0,0,23,0,0,1,0,1,0
79,151950,12,130000,51,1,3,28,1,0,0,1,0,0,88,0,509700,182953,0,0,0,312,0,0,1,0,11,0,0,1,0,1,0
80,146000,12,100000,49,1,3,22,1,0,0,1,0,0,107,0,509721,185936,0,0,0,312,0,0,0,1,3,0,0,1,0,1,0
81,122500,12,110000,46,1,3,24,1,0,0,1,0,0,90,0,509733,171561,0,0,0,313,0,0,0,1,22,0,1,0,0,1,0
82,122000,12,49015,53,1,2,32,0,0,0,0,0,1,84,0,509737,171801,0,0,0,313,0,0,0,1,30,0,0,0,1,1,0
83,114950,12,109200,63,1,2,24,0,0,0,0,0,1,48,1,509742,186453,0,0,0,312,0,1,0,0,44,0,1,0,0,0,1
84,167000,12,150000,101,1,2,30,1,0,0,1,0,0,82,0,509791,191109,0,0,0,312,0,0,0,1,24,0,0,0,1,1,0
85,154950,12,45000,62,1,3,34,1,0,0,1,0,0,110,1,509798,185597,0,0,0,312,0,0,0,1,26,0,0,1,0,1,0
86,97000,11,77000,31,1,2,22,2,1,0,0,0,0,65,1,509829,182815,0,0,0,312,0,1,0,0,7,0,0,1,0,0,1
87,155000,12,30000,63,1,3,67,1,0,0,1,0,0,98,0,509829,182815,0,0,0,312,0,0,1,0,7,0,0,1,0,1,0
88,142000,12,70035,71,1,3,41,1,0,0,1,0,0,120,0,509833,185892,0,0,0,312,0,0,0,1,35,0,1,0,0,1,0
89,87000,11,82500,26,1,1,26,1,0,0,1,0,0,50,1,509848,189546,0,0,0,312,0,1,0,0,3,0,1,0,0,0,1
90,132250,12,70000,71,1,3,29,1,0,0,1,0,0,94,0,509888,180562,0,0,0,312,0,0,1,0,23,0,0,0,1,1,0
91,138000,12,130000,69,1,3,35,1,0,0,1,0,0,93,1,509888,182421,0,0,0,312,0,0,1,0,28,0,0,1,0,1,0
92,97500,11,52221,51,1,2,31,2,1,0,0,0,0,71,0,510001,173228,0,0,0,313,0,1,0,0,23,0,1,0,0,0,1
93,115000,12,108000,16,1,1,27,0,0,0,0,0,1,65,0,510044,190496,0,0,0,312,0,0,0,1,52,0,0,0,1,1,0
94,80000,11,40000,31,1,2,22,1,0,0,1,0,0,75,1,510088,181291,1,0,1,312,0,1,0,0,25,0,1,0,0,0,1
95,191000,12,171900,66,1,3,32,0,0,0,0,0,1,119,0,510138,187917,0,0,0,312,0,0,1,0,11,0,0,0,1,1,0
96,110000,12,70000,66,1,2,27,1,0,0,1,0,0,63,0,510166,178634,0,0,0,312,0,0,0,1,35,0,0,1,0,1,0
97,142500,12,135375,66,1,2,34,1,0,0,1,0,0,69,1,510224,187198,0,0,0,312,0,0,0,1,35,0,0,1,0,1,0
98,96800,11,85000,51,1,2,31,1,0,0,1,0,0,85,1,510226,175170,0,0,0,313,0,1,0,0,2,0,0,1,0,0,1
99,90000,11,85500,26,1,3,23,0,0,0,0,0,1,95,1,510254,173268,1,0,1,313,0,1,0,0,41,0,1,0,0,0,1
100,125500,12,112950,71,1,3,23,1,0,0,1,0,0,74,1,510259,186738,0,0,0,312,0,0,0,1,22,0,0,1,0,1,0
101,215000,12,24390,66,1,3,47,1,0,0,1,0,0,137,0,510297,186517,0,0,0,312,0,0,0,1,31,0,0,0,1,1,0
102,110000,12,40000,71,1,2,47,1,0,0,1,0,0,66,0,510330,188506,0,0,0,312,0,1,0,0,18,0,0,1,0,0,1
103,147000,12,57022,41,1,3,31,0,0,0,0,0,1,109,0,510426,180545,0,0,0,312,0,0,1,0,25,0,0,1,0,1,0
104,201000,12,135000,66,1,3,30,1,0,0,1,0,0,109,0,510439,189336,0,0,0,312,0,0,1,0,10,0,0,0,1,1,0
105,225000,12,100000,66,1,3,46,1,0,0,1,0,0,146,1,510583,190208,0,0,0,312,0,0,1,0,20,0,0,1,0,1,0
106,120000,12,114000,51,1,2,41,1,0,0,1,0,0,64,0,510604,190399,0,0,0,312,0,1,0,0,19,0,0,0,1,0,1
107,144000,12,30493,71,1,2,26,1,0,0,1,0,0,97,0,510624,185800,0,0,0,312,0,0,0,1,11,0,0,1,0,1,0
108,69000,11,65550,51,1,2,38,0,0,0,0,0,1,49,1,510643,174242,1,0,1,313,0,1,0,0,27,0,1,0,0,0,1
109,129500,12,89419,71,1,3,42,1,0,0,1,0,0,93,0,510649,173861,0,0,0,313,0,0,1,0,18,0,1,0,0,1,0
110,167500,12,95000,66,1,3,29,1,0,0,1,0,0,94,0,510675,180627,0,0,0,312,0,0,1,0,23,0,0,0,1,1,0
111,147500,12,140125,66,1,3,30,1,0,0,1,0,0,83,1,510718,186482,0,0,0,312,0,0,0,1,34,0,0,0,1,1,0
112,152500,12,86500,51,1,3,37,1,0,0,1,0,0,104,0,510727,184968,0,0,0,312,0,0,0,1,22,0,0,0,1,1,0
113,210000,12,30000,71,1,3,60,1,0,0,1,0,0,106,0,510785,185100,0,0,0,312,1,0,0,0,22,0,0,0,1,1,0
114,95500,11,90725,16,1,2,33,1,0,0,1,0,0,83,1,510801,171935,0,0,0,313,0,1,0,0,10,0,0,1,0,0,1
115,130000,12,102000,71,1,3,33,0,0,0,0,0,1,92,1,510847,181729,0,0,0,312,0,0,1,0,26,0,0,1,0,1,0
116,187500,12,71000,71,1,3,45,1,0,0,1,0,0,111,0,510880,186858,0,0,0,312,0,0,1,0,14,0,0,1,0,1,0
117,187500,12,42500,71,1,3,45,1,0,0,1,0,0,111,0,510880,186858,0,0,0,312,0,0,1,0,14,0,0,1,0,1,0
118,219950,12,21000,71,1,3,54,1,0,0,1,0,0,107,0,510882,190544,0,0,0,310,0,0,1,0,26,0,0,0,1,1,0
119,153000,12,122400,51,1,3,50,1,0,0,1,0,0,98,0,511050,187313,0,0,0,312,0,0,1,0,18,0,1,0,0,1,0
120,155000,12,70000,51,1,3,32,1,0,0,1,0,0,99,0,511066,187366,0,0,0,312,0,0,1,0,55,0,1,0,0,1,0
121,250000,12,175000,66,1,3,32,1,0,0,1,0,0,115,0,511128,190775,0,0,0,310,0,0,1,0,5,0,0,1,0,1,0
122,81000,11,76950,90,1,2,26,0,0,0,0,0,1,55,1,511161,172959,0,0,0,313,0,1,0,0,27,0,1,0,0,0,1
123,138500,12,131575,69,1,2,34,1,0,0,1,0,0,80,0,511175,185904,0,0,0,312,0,0,0,1,31,0,1,0,0,1,0
124,168000,12,78894,71,1,3,32,1,0,0,1,0,0,102,0,511254,185815,0,0,0,312,0,0,1,0,26,0,0,1,0,1,0
125,132000,12,125000,71,1,2,26,1,0,0,1,0,0,80,1,511286,186342,0,0,0,312,0,0,0,1,33,0,1,0,0,1,0
126,385000,13,188500,71,2,4,32,1,0,0,1,0,0,170,0,511490,188643,0,0,0,312,1,0,0,0,11,0,0,1,0,1,0
127,215000,12,80000,31,2,2,77,1,0,0,1,0,0,110,0,511604,189943,0,0,0,310,0,1,0,0,37,0,0,1,0,0,1
128,365000,13,161500,47,1,4,39,1,0,0,1,0,0,156,0,511633,190773,0,0,0,310,1,0,0,0,19,0,0,1,0,1,0
129,118500,12,112575,53,1,2,39,0,0,0,0,0,1,84,0,511636,172866,0,0,0,313,0,0,0,1,18,0,0,0,1,1,0
130,120000,12,114000,53,1,2,39,0,0,0,0,0,1,84,0,511636,172866,0,0,0,313,0,0,0,1,18,0,0,0,1,1,0
131,149000,12,80000,66,2,3,48,1,0,0,1,0,0,108,0,511769,177107,0,0,0,313,0,0,0,1,35,0,0,0,1,1,0
132,140000,12,25000,43,1,3,56,1,0,0,1,0,0,105,0,511772,172780,0,0,0,313,0,0,1,0,18,0,0,0,1,1,0
133,132000,12,15000,51,1,3,43,1,0,0,1,0,0,97,0,511836,183828,0,0,0,307,0,0,0,1,18,0,0,0,1,1,0
134,185000,12,150000,71,1,3,30,1,0,0,1,0,0,94,1,511856,186299,0,0,0,312,0,0,1,0,26,0,0,1,0,1,0
135,82000,11,61000,20,1,1,32,0,0,0,0,0,1,58,1,511875,182131,0,0,0,312,0,1,0,0,23,0,1,0,0,0,1
136,79500,11,65000,71,1,1,25,0,0,0,0,0,1,50,1,511875,182131,0,0,0,312,0,1,0,0,23,0,1,0,0,0,1
137,122000,12,115900,111,1,2,34,1,0,0,1,0,0,86,0,511998,171678,1,0,1,313,0,0,0,1,30,0,1,0,0,1,0
138,146000,12,115000,71,1,3,31,1,0,0,1,0,0,97,1,512051,183259,1,1,0,307,0,0,1,0,9,0,0,1,0,1,0
139,60000,11,57000,46,1,1,27,1,0,0,1,0,0,45,1,512104,182504,0,0,0,307,0,1,0,0,48,0,0,0,1,0,1
140,225000,12,202500,66,1,3,36,1,0,0,1,0,0,113,1,512112,188354,0,0,0,310,0,0,1,0,24,0,0,1,0,1,0
141,119950,12,79950,6,2,2,32,1,0,0,1,0,0,71,1,512120,181974,0,0,0,312,0,1,0,0,32,0,0,0,1,0,1
142,119000,12,105000,71,1,2,33,1,0,0,1,0,0,72,1,512144,171688,1,0,1,313,0,0,0,1,29,0,1,0,0,1,0
143,75000,11,30000,31,1,2,41,1,0,0,1,0,0,78,1,512214,175126,1,1,0,313,0,1,0,0,67,0,0,0,1,1,0
144,157500,12,62055,66,2,3,51,1,0,0,1,0,0,175,0,512266,171998,0,0,0,313,0,0,0,1,29,0,0,1,0,1,0
145,87500,11,83125,21,1,2,35,1,0,0,1,0,0,57,0,512293,183516,0,0,0,307,0,1,0,0,92,0,1,0,0,0,1
146,185000,12,138750,71,1,3,31,1,0,0,1,0,0,85,1,512310,188156,0,0,0,310,0,0,1,0,25,0,0,1,0,1,0
147,59500,11,40000,91,1,3,43,1,0,0,1,0,0,73,1,512352,179185,0,0,0,307,0,1,0,0,40,0,1,0,0,0,1
148,130000,12,118750,26,1,3,31,1,0,0,1,0,0,107,1,512373,175765,0,0,0,313,0,0,0,1,28,0,0,0,1,1,0
149,124000,12,117800,51,1,2,27,0,0,0,0,0,1,66,1,512410,188556,0,0,0,310,0,1,0,0,28,0,1,0,0,0,1
150,120000,12,112000,16,1,2,34,1,0,0,1,0,0,71,1,512425,170906,0,0,0,318,0,0,1,0,38,0,0,1,0,1,0
151,115000,12,103500,11,1,2,40,0,0,0,0,0,1,69,0,512452,174867,0,0,0,313,0,0,0,1,49,0,0,0,1,1,0
152,117000,12,50000,11,1,2,40,2,1,0,0,0,0,68,1,512452,174867,0,0,0,313,0,0,0,1,49,0,0,0,1,1,0
153,103000,12,50000,16,1,1,24,0,0,0,0,0,1,55,1,512469,170701,0,0,0,318,0,0,0,1,46,0,0,0,1,1,0
154,107000,12,96200,16,1,1,38,2,1,0,0,0,0,54,1,512469,170701,0,0,0,318,0,0,0,1,46,0,0,0,1,1,0
155,165000,12,59180,71,1,3,30,1,0,0,1,0,0,106,0,512482,185506,0,0,0,310,0,0,1,0,35,0,0,1,0,1,0
156,165000,12,78820,71,1,3,30,1,0,0,1,0,0,106,0,512482,185506,0,0,0,310,0,0,1,0,35,0,0,1,0,1,0
157,103500,12,93150,66,1,2,31,1,0,0,1,0,0,57,1,512521,172886,1,0,1,313,0,0,0,1,16,0,0,0,1,1,0
158,126000,12,119700,71,1,3,33,1,0,0,1,0,0,110,1,512521,172886,1,0,1,313,0,0,0,1,16,0,1,0,0,1,0
159,128000,12,106000,71,1,3,34,1,0,0,1,0,0,107,1,512526,175558,0,0,0,313,0,0,0,1,40,0,1,0,0,1,0
160,88000,11,80000,5,1,1,28,6,0,1,0,0,0,49,1,512545,178645,0,0,0,307,0,1,0,0,108,0,0,0,1,0,1
161,147000,12,90000,16,1,3,31,1,0,0,1,0,0,90,0,512554,171136,0,0,0,318,0,0,0,1,20,0,0,1,0,1,0
162,132000,12,107000,16,1,2,31,1,0,0,1,0,0,69,1,512581,170983,0,0,0,318,0,0,0,1,46,0,0,0,1,1,0
163,127000,12,35000,51,1,3,21,1,0,0,1,0,0,94,1,512603,182913,1,0,1,307,0,0,0,1,48,0,0,0,1,1,0
164,165000,12,70106,66,1,3,29,1,0,0,1,0,0,113,0,512608,186215,0,0,0,310,0,0,0,1,39,0,0,0,1,1,0
165,96000,11,86000,66,1,1,35,1,0,0,1,0,0,64,1,512668,186685,0,0,0,310,0,1,0,0,18,0,1,0,0,0,1
166,96000,11,86400,13,1,1,25,2,1,0,0,0,0,51,1,512671,174815,0,0,0,313,0,0,0,1,37,0,0,0,1,1,0
167,88000,11,83500,31,1,2,31,2,1,0,0,0,0,67,1,512679,186196,1,0,1,310,0,1,0,0,39,0,1,0,0,0,1
168,133000,12,107000,71,1,2,27,1,0,0,1,0,0,75,0,512695,177978,0,0,0,313,0,0,0,1,20,0,0,0,1,1,0
169,74000,11,66600,9,1,1,31,1,0,0,1,0,0,39,1,512706,182748,1,0,1,307,0,1,0,0,27,0,1,0,0,0,1
170,240000,12,73000,71,2,3,62,1,0,0,1,0,0,135,0,512722,188192,0,0,0,310,0,0,1,0,21,0,0,0,1,1,0
171,222500,12,62000,66,1,3,28,1,0,0,1,0,0,133,1,512750,187866,0,0,0,310,0,0,1,0,24,0,0,1,0,1,0
172,285000,13,172000,64,1,3,35,1,0,0,1,0,0,106,0,512765,188393,0,0,0,310,1,0,0,0,17,0,0,1,0,1,0
173,88000,11,79200,11,1,2,28,6,0,1,0,0,0,50,1,512785,182524,0,0,0,307,0,1,0,0,12,0,0,0,1,0,1
174,85000,11,75000,13,1,1,27,2,1,0,0,0,0,44,1,512785,182524,0,0,0,307,0,1,0,0,12,0,0,0,1,0,1
175,148500,12,50000,71,1,3,27,1,0,0,1,0,0,81,1,512794,186919,0,0,0,310,0,0,0,1,30,0,0,1,0,1,0
176,68000,11,64600,31,1,1,26,2,1,0,0,0,0,40,1,512811,175355,0,0,0,313,0,1,0,0,19,0,0,1,0,0,1
177,115500,12,109500,31,1,3,47,1,0,0,1,0,0,82,0,512813,171578,0,0,0,318,0,0,1,0,40,0,0,1,0,1,0
178,158950,12,119213,71,1,3,26,1,0,0,1,0,0,91,1,512813,187011,0,0,0,310,0,0,0,1,32,0,0,1,0,1,0
179,80000,11,60000,66,1,2,36,2,1,0,0,0,0,74,1,512822,180318,0,0,0,307,0,1,0,0,18,0,1,0,0,0,1
180,85000,11,80750,11,1,2,29,0,0,0,0,0,1,55,1,512831,182489,0,0,0,307,0,1,0,0,12,0,0,0,1,0,1
181,146000,12,113000,101,1,3,30,1,0,0,1,0,0,115,0,512837,175484,0,0,0,313,0,0,1,0,19,0,1,0,0,1,0
182,109500,12,98550,15,1,2,46,1,0,0,1,0,0,57,1,512915,178834,0,0,0,307,0,1,0,0,16,0,0,0,1,0,1
183,425000,13,58000,25,2,4,66,1,0,0,1,0,0,172,0,512969,191735,0,0,0,310,1,0,0,0,18,0,0,1,0,1,0
184,115000,12,109250,46,1,3,31,1,0,0,1,0,0,105,1,512977,172553,1,0,1,313,0,0,0,1,24,0,0,0,1,1,0
185,128000,12,60000,51,1,3,37,1,0,0,1,0,0,115,0,512995,172452,1,0,1,313,0,0,1,0,20,0,0,0,1,1,0
186,164950,12,75000,71,1,3,44,1,0,0,1,0,0,95,0,513037,186523,0,0,0,310,0,0,1,0,13,1,0,0,0,1,0
187,198000,12,150000,66,1,3,62,1,0,0,1,0,0,111,0,513090,173103,0,0,0,318,0,0,1,0,13,0,0,1,0,1,0
188,110000,12,45000,66,1,2,46,1,0,0,1,0,0,67,0,513130,182031,0,0,0,307,0,0,0,1,39,0,1,0,0,1,0
189,87000,11,82650,24,1,2,23,1,0,0,1,0,0,75,1,513152,183135,1,0,1,307,0,1,0,0,30,0,1,0,0,0,1
190,99950,12,94950,71,1,2,30,0,0,0,0,0,1,56,1,513163,181972,0,0,0,307,0,0,0,1,39,0,1,0,0,1,0
191,168500,12,75000,121,2,2,42,1,0,0,1,0,0,96,0,513192,172181,0,0,0,318,0,0,0,1,2,0,1,0,0,1,0
192,154000,12,70000,71,1,3,43,1,0,0,1,0,0,123,0,513192,182340,0,0,0,307,0,0,0,1,31,1,0,0,0,1,0
193,125000,12,118750,19,1,2,23,1,0,0,1,0,0,81,0,513282,186167,0,0,0,310,0,0,0,1,23,0,0,0,1,1,0
194,242500,12,90000,40,2,5,41,1,0,0,1,0,0,169,0,513289,170235,0,0,0,318,0,0,0,1,25,0,0,1,0,1,0
195,297500,13,105000,66,2,4,32,1,0,0,1,0,0,152,0,513350,179115,0,0,0,307,1,0,0,0,19,0,0,1,0,1,0
196,300000,13,105000,66,2,4,32,1,0,0,1,0,0,152,0,513350,179115,0,0,0,307,1,0,0,0,19,0,0,1,0,1,0
197,270000,13,150000,71,1,3,42,1,0,0,1,0,0,122,1,513406,191480,0,0,0,310,0,0,1,0,18,0,1,0,0,1,0
